filename,attack,defense,nm,accuracy,accuracy_pct
zero_gradient_attack_bulyan_30.log,ZG,Bulyan,30,0.7027431421446384,70.27431421446384
zero_gradient_attack_bulyan_5.log,ZG,Bulyan,5,0.7037406483790524,70.37406483790524
zero_gradient_attack_fltrust_10.log,ZG,FLTrust,10,0.6688279301745635,66.88279301745635
zero_gradient_attack_fltrust_15.log,ZG,FLTrust,15,0.6688279301745635,66.88279301745635
zero_gradient_attack_fltrust_20.log,ZG,FLTrust,20,0.6902743142144638,69.02743142144638
zero_gradient_attack_fltrust_25.log,ZG,FLTrust,25,0.6688279301745635,66.88279301745635
zero_gradient_attack_fltrust_30.log,ZG,FLTrust,30,0.6688279301745635,66.88279301745635
zero_gradient_attack_fltrust_5.log,ZG,FLTrust,5,0.687780548628429,68.7780548628429
zero_gradient_attack_mandera_detect_10.log,ZG,MANDERA,10,0.7102244389027431,71.02244389027432
zero_gradient_attack_mandera_detect_15.log,ZG,MANDERA,15,0.7097256857855362,70.97256857855362
zero_gradient_attack_mandera_detect_20.log,ZG,MANDERA,20,0.712219451371571,71.2219451371571
zero_gradient_attack_mandera_detect_25.log,ZG,MANDERA,25,0.7092269326683291,70.92269326683291
zero_gradient_attack_mandera_detect_30.log,ZG,MANDERA,30,0.7077306733167082,70.77306733167083
zero_gradient_attack_mandera_detect_5.log,ZG,MANDERA,5,0.7102244389027431,71.02244389027432
zero_gradient_attack_median_10.log,ZG,Median,10,0.6937655860349127,69.37655860349126
zero_gradient_attack_median_15.log,ZG,Median,15,0.6768079800498753,67.68079800498754
zero_gradient_attack_median_20.log,ZG,Median,20,0.6708229426433915,67.08229426433915
zero_gradient_attack_median_25.log,ZG,Median,25,0.6688279301745635,66.88279301745635
zero_gradient_attack_median_30.log,ZG,Median,30,0.6688279301745635,66.88279301745635
zero_gradient_attack_median_5.log,ZG,Median,5,0.6987531172069825,69.87531172069825
zero_gradient_attack_multi_krum_10.log,ZG,Krum,10,0.6648379052369078,66.48379052369077
zero_gradient_attack_multi_krum_15.log,ZG,Krum,15,0.6872817955112219,68.7281795511222
zero_gradient_attack_multi_krum_20.log,ZG,Krum,20,0.6922693266832918,69.22693266832918
zero_gradient_attack_multi_krum_25.log,ZG,Krum,25,0.6743142144638404,67.43142144638405
zero_gradient_attack_multi_krum_30.log,ZG,Krum,30,0.6892768079800499,68.92768079800499
zero_gradient_attack_multi_krum_5.log,ZG,Krum,5,0.6783042394014963,67.83042394014963
zero_gradient_attack_tr_mean_10.log,ZG,Trim-mean,10,0.6922693266832918,69.22693266832918
zero_gradient_attack_tr_mean_15.log,ZG,Trim-mean,15,0.6753117206982544,67.53117206982544
zero_gradient_attack_tr_mean_20.log,ZG,Trim-mean,20,0.6688279301745635,66.88279301745635
zero_gradient_attack_tr_mean_25.log,ZG,Trim-mean,25,0.6688279301745635,66.88279301745635
zero_gradient_attack_tr_mean_30.log,ZG,Trim-mean,30,0.6688279301745635,66.88279301745635
zero_gradient_attack_tr_mean_5.log,ZG,Trim-mean,5,0.7007481296758105,70.07481296758104
